Group,LLM,Metric,NQ,NewsQA,HotpotQA,FinQA,Close Avg.,PubMedQA,LoTTE-Sci.,LoTTE-Tech.,ELI5,Open Avg.
Open Source,Qwen3_4B,Completeness,0.933,0.775,0.675,0.354,0.684,0.759,0.818,0.753,0.655,0.746
Open Source,Qwen3_4B,Conciseness,0.886,0.724,0.779,0.556,0.737,0.585,0.499,0.555,0.331,0.493
Open Source,Qwen3_4B,Verifiableness,0.745,0.846,0.671,0.565,0.707,0.698,0.903,0.757,0.513,0.718
Open Source,Qwen3_30B,Completeness,0.942,0.858,0.662,0.312,0.694,0.786,0.83,0.803,0.734,0.788
Open Source,Qwen3_30B,Conciseness,0.942,0.797,0.725,0.492,0.739,0.672,0.623,0.621,0.423,0.585
Open Source,Qwen3_30B,Verifiableness,0.721,0.884,0.612,0.6,0.704,0.723,0.918,0.785,0.473,0.725
Open Source,Gemma3_4B,Completeness,0.85,0.575,0.55,0.379,0.589,0.64,0.656,0.613,0.556,0.616
Open Source,Gemma3_4B,Conciseness,0.825,0.575,0.638,0.531,0.642,0.52,0.474,0.433,0.336,0.441
Open Source,Gemma3_4B,Verifiableness,0.775,0.742,0.675,0.544,0.684,0.74,0.863,0.841,0.565,0.752
Open Source,Gemma3_27B,Completeness,0.842,0.888,0.675,0.283,0.672,0.63,0.722,0.693,0.541,0.646
Open Source,Gemma3_27B,Conciseness,0.862,0.79,0.631,0.446,0.682,0.5,0.509,0.546,0.365,0.48
Open Source,Gemma3_27B,Verifiableness,0.804,0.894,0.742,0.629,0.767,0.872,0.917,0.792,0.652,0.808
Open Source,GPT-oss_20B,Completeness,0.892,0.8,0.688,0.321,0.675,0.817,0.868,0.76,0.744,0.797
Open Source,GPT-oss_20B,Conciseness,0.912,0.733,0.762,0.5,0.727,0.701,0.613,0.612,0.533,0.615
Open Source,GPT-oss_20B,Verifiableness,0.65,0.888,0.712,0.55,0.7,0.567,0.736,0.641,0.398,0.585
Proprietary,Gemini-2.5-pro,Completeness,0.733,0.775,0.55,0.533,0.648,0.59,0.772,0.702,0.531,0.649
Proprietary,Gemini-2.5-pro,Conciseness,0.692,0.645,0.567,0.562,0.616,0.425,0.503,0.477,0.3,0.426
Proprietary,Gemini-2.5-pro,Verifiableness,0.908,0.898,0.867,0.746,0.855,0.861,0.931,0.891,0.75,0.858
Proprietary,Claude-Sonnet,Completeness,0.8,0.817,0.75,0.617,0.746,0.796,0.852,0.798,0.7,0.787
Proprietary,Claude-Sonnet,Conciseness,0.678,0.635,0.763,0.635,0.678,0.495,0.485,0.536,0.444,0.49
Proprietary,Claude-Sonnet,Verifiableness,0.888,0.948,0.804,0.758,0.85,0.831,0.883,0.808,0.535,0.764
Proprietary,GPT-5,Completeness,0.933,0.833,0.688,0.412,0.717,0.744,0.962,0.805,0.606,0.779
Proprietary,GPT-5,Conciseness,0.938,0.852,0.821,0.583,0.799,0.442,0.487,0.406,0.33,0.416
Proprietary,GPT-5,Verifiableness,0.662,0.844,0.625,0.767,0.725,0.774,0.848,0.838,0.632,0.773
,Completeness,Overall,0.866,0.79,0.655,0.402,0.678,0.72,0.81,0.741,0.633,0.726
,Conciseness,Overall,0.842,0.719,0.711,0.538,0.702,0.542,0.524,0.523,0.383,0.493
,Verifiableness,Overall,0.769,0.868,0.714,0.645,0.749,0.758,0.875,0.794,0.565,0.748
